series_id,title,occurrence,date,distribution,decision_density,topic_focus,attention,vitality
S01,Eng Weekly Sync,0,2025-11-03,99.7,100.0,20.3,89.0,81.8
S01,Eng Weekly Sync,1,2025-11-10,99.6,100.0,20.0,87.5,81.4
S01,Eng Weekly Sync,2,2025-11-17,99.6,100.0,20.0,83.3,80.5
S01,Eng Weekly Sync,3,2025-11-24,99.8,100.0,20.4,89.5,81.9
S01,Eng Weekly Sync,4,2025-12-01,99.6,100.0,20.6,87.3,81.5
S01,Eng Weekly Sync,5,2025-12-08,99.4,100.0,21.6,87.9,81.7
S01,Eng Weekly Sync,6,2025-12-15,99.6,66.7,21.7,85.5,71.3
S01,Eng Weekly Sync,7,2025-12-22,99.7,66.7,15.5,87.7,70.6
S01,Eng Weekly Sync,8,2025-12-29,99.5,100.0,24.2,83.1,81.3
S01,Eng Weekly Sync,9,2026-01-05,99.7,100.0,19.7,81.5,80.1
S01,Eng Weekly Sync,10,2026-01-12,99.6,66.7,25.0,91.9,73.3
S01,Eng Weekly Sync,11,2026-01-19,99.7,100.0,19.7,85.2,80.9
S01,Eng Weekly Sync,12,2026-01-26,99.4,100.0,16.9,84.6,80.1
S01,Eng Weekly Sync,13,2026-02-02,99.7,66.7,17.3,79.8,69.3
S01,Eng Weekly Sync,14,2026-02-09,99.7,100.0,20.6,80.4,80.1
S01,Eng Weekly Sync,15,2026-02-16,99.6,100.0,16.7,90.2,81.3
S01,Eng Weekly Sync,16,2026-02-23,99.6,100.0,19.7,86.7,81.2
S01,Eng Weekly Sync,17,2026-03-02,99.5,100.0,21.3,90.9,82.3
S01,Eng Weekly Sync,18,2026-03-09,99.7,100.0,25.0,91.5,83.2
S01,Eng Weekly Sync,19,2026-03-16,99.8,100.0,20.0,88.2,81.6
S01,Eng Weekly Sync,20,2026-03-23,99.7,100.0,22.2,83.2,81.0
S01,Eng Weekly Sync,21,2026-03-30,99.8,100.0,20.0,81.8,80.3
S01,Eng Weekly Sync,22,2026-04-06,99.9,100.0,21.7,83.8,81.1
S01,Eng Weekly Sync,23,2026-04-13,99.8,100.0,17.5,91.6,81.8
S01,Eng Weekly Sync,24,2026-04-20,100.0,66.7,17.9,92.7,72.1
S01,Eng Weekly Sync,25,2026-04-27,99.6,100.0,17.1,89.3,81.2
S02,Roadmap Review,0,2025-11-03,99.9,100.0,8.6,81.2,77.9
S02,Roadmap Review,1,2025-11-10,99.9,66.7,17.0,89.7,71.3
S02,Roadmap Review,2,2025-11-17,99.4,100.0,15.4,86.0,80.1
S02,Roadmap Review,3,2025-11-24,99.3,100.0,16.9,80.0,79.2
S02,Roadmap Review,4,2025-12-01,99.9,100.0,12.9,79.1,78.4
S02,Roadmap Review,5,2025-12-08,99.3,66.7,12.9,84.6,69.3
S02,Roadmap Review,6,2025-12-15,99.8,66.7,11.4,87.9,69.8
